channel_id,channel_title,channel_description,published_at,country,total_views,subscriber_count,video_count,processed_at,created_at,title,tier_category,uploads_playlist_id,last_checked_at
UCETxOvOv9_44-CUzsPlzyxQ,Chanux Bro,,,Unknown,224455707,2190000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Chanux Bro,,UUETxOvOv9_44-CUzsPlzyxQ,
UCEUSUxrhCt4n0Pp9WB7q7-w,SLTMobitel,,,LK,91725204,1460000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,SLTMobitel,,UUEUSUxrhCt4n0Pp9WB7q7-w,
UCEuz_HGv5er0LZsztjO4g5Q,Buddhist Path - දෙලොවම සුවපත්වන බුදු බණ,,,LK,1348,1210000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Buddhist Path - දෙලොවම සුවපත්වන බුදු බණ,,UUEuz_HGv5er0LZsztjO4g5Q,
UCF5efTIgHxLMduJeMLdbbUw,Kithursan Official,,,LK,23,1260,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Kithursan Official,,UUF5efTIgHxLMduJeMLdbbUw,
UCfK5mYo5nvU4d4vkguhSn6Q,ak production,,,NP,7681201,65300,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,ak production,,UUfK5mYo5nvU4d4vkguhSn6Q,
UCFPySgAumPBFo0VFf8hjCjw,Lahiru Dikkumbura,,,US,23928264,103000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Lahiru Dikkumbura,,UUFPySgAumPBFo0VFf8hjCjw,
UCFq73irpdELVQc5yYQcLCcA,Ceylon Food Lover,,,LK,514319,726,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Ceylon Food Lover,,UUFq73irpdELVQc5yYQcLCcA,
UCGc6e2-SXlGP_cKkV5H39Kg,Kema Ready,,,LK,1206,1160,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Kema Ready,,UUGc6e2-SXlGP_cKkV5H39Kg,
UCGkzF25IZBE1SF9ykM64xEA,Vini Productions - විනී,,,LK,631147309,3890000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Vini Productions - විනී,,UUGkzF25IZBE1SF9ykM64xEA,
UCglXlpWjIi95auM3umWWLdw,Tech Master,,,IN,20261313932,32400000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Tech Master,,UUglXlpWjIi95auM3umWWLdw,
UCGN3TM5lZQ1DAvMwI1LIc8Q,Nodutu Lokaya - නොදුටු ලෝකය,,,LK,124738570,1230000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Nodutu Lokaya - නොදුටු ලෝකය,,UUGN3TM5lZQ1DAvMwI1LIc8Q,
UCgnFSj7jQffD5V5m05j4dPw,Newsfirst Sri Lanka,,,LK,1798011382,3150000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Newsfirst Sri Lanka,,UUgnFSj7jQffD5V5m05j4dPw,
UCh9qXeL8eP3Txra2908xksg,Yohani,,,LK,886763901,4050000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Yohani,,UUh9qXeL8eP3Txra2908xksg,
UCHQfFg_epoUK0htwmiUyzEQ,English Sinhalen Online,,,LK,36688379,627000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,English Sinhalen Online,,UUHQfFg_epoUK0htwmiUyzEQ,
UCiOEgWwAKbfrVb795hqQc9A,Heshan Vlog,,,LK,45634690,379000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Heshan Vlog,,UUiOEgWwAKbfrVb795hqQc9A,
UCiTVdDN9GI0xzzyvPHrk8VA,Sameera Hasaranga,,,LK,166,1670,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Sameera Hasaranga,,UUiTVdDN9GI0xzzyvPHrk8VA,
UCIWNVlovGKqnOhJ2eRC_xfg,Dare-Devil,,,Unknown,6218,71,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Dare-Devil,,UUIWNVlovGKqnOhJ2eRC_xfg,
UCjK3LREYZUrNKnk56Prhe4w,Waharaka Thera Waruna,,,LK,256443,2320,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Waharaka Thera Waruna,,UUjK3LREYZUrNKnk56Prhe4w,
UCjLQdvRi4RHedQ74TWLgyRw,Teckeey,,,LK,2,640,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Teckeey,,UUjLQdvRi4RHedQ74TWLgyRw,
UCJsN1Mmx4GRA6sCYdfKqpSQ,Sandaru Sathsara,,,LK,215812564,1950000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Sandaru Sathsara,,UUJsN1Mmx4GRA6sCYdfKqpSQ,
UCk6Bzr5M-8n_KN2guSmWmMw,siri vidasuna,,,LK,5508,512,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,siri vidasuna,,UUk6Bzr5M-8n_KN2guSmWmMw,
UCKA7SQOUkD1_z5lr016Q70w,Wild Cookbook,,,LK,5130261361,11000000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Wild Cookbook,,UUKA7SQOUkD1_z5lr016Q70w,
UCKEKf35apTUvSLs-c1DCekw,English with Sakvithi,,,LK,41664500,999000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,English with Sakvithi,,UUKEKf35apTUvSLs-c1DCekw,
UCKS1HX4moHCcDBZnM9k4giw,Booba – Cartoon for Kids,,,US,3650788990,6110000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Booba – Cartoon for Kids,,UUKS1HX4moHCcDBZnM9k4giw,
UCkysZsPin4y9iQHS-QYygeQ,Around The Clock,,,US,42201666,104000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Around The Clock,,UUkysZsPin4y9iQHS-QYygeQ,
UCltN1illHSguno1gokRShxA,Leo’s Playtime,,,US,121714437,184000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Leo’s Playtime,,UUltN1illHSguno1gokRShxA,
UCm-TY_JakK4dHAwF6QqcZSg,Artzy,,,Unknown,14609363,122000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Artzy,,UUm-TY_JakK4dHAwF6QqcZSg,
UCMeObxIFpmRVL22ZpL4ME9g,Shifa Media,,,Unknown,1166079,6650,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Shifa Media,,UUMeObxIFpmRVL22ZpL4ME9g,
UCmqflTSJ6911aCrnaWIXxsA,The Voice Sri Lanka,,,LK,784713815,2380000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,The Voice Sri Lanka,,UUmqflTSJ6911aCrnaWIXxsA,
UCMQYRNX1Fg-HJ8Ey7Z3WPrA,"Wasthi Productions ""වස්ති""",,,LK,282961325,2130000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,"Wasthi Productions ""වස්ති""",,UUMQYRNX1Fg-HJ8Ey7Z3WPrA,
UCn0XmAUFv6d2tofMFEesSNw,Sirasa TV,,,LK,3465110572,4220000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Sirasa TV,,UUn0XmAUFv6d2tofMFEesSNw,
UCNFDDKoTezuSWbIjjHA76xQ,TR Creativity,,,LK,751491366,1320000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,TR Creativity,,UUNFDDKoTezuSWbIjjHA76xQ,
UCnIKiPYRsC2iN4jpsUeBeXQ,Dσιԃσ  Pɾσԃυƈƚισɳʂ,,,LK,710,1030,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Dσιԃσ  Pɾσԃυƈƚισɳʂ,,UUnIKiPYRsC2iN4jpsUeBeXQ,
UCnirzf0fEAPfQV__61iwSQQ,Eclipse,,,Unknown,144490659,328000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Eclipse,,UUnirzf0fEAPfQV__61iwSQQ,
UCnY7v189bwoSTFFYD_PNWhQ,Channel NIE - தமிழ்,,,LK,8157815,102000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Channel NIE - தமிழ்,,UUnY7v189bwoSTFFYD_PNWhQ,
UCNyujDJFZqQml78mdpb2rNA,සරු කෙත,,,LK,201278,2700,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,සරු කෙත,,UUNyujDJFZqQml78mdpb2rNA,
UCOLdaAcrdzYY3ug15EuuFAg,The Rustic Kitchen & Tranquil Village,,,LK,848413293,2160000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,The Rustic Kitchen & Tranquil Village,,UUOLdaAcrdzYY3ug15EuuFAg,
UCOQAZV0vURpWMKTlAGVy8rQ,Music Channel - Sutha Win Music Rasanai,,,LK,100989,1150,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Music Channel - Sutha Win Music Rasanai,,UUOQAZV0vURpWMKTlAGVy8rQ,
UCQxq1x6XKl1oRJ_aSOdurWQ,Shanthini Singer,,,LK,1694095,11100,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Shanthini Singer,,UUQxq1x6XKl1oRJ_aSOdurWQ,
UCR0Bia1mQ7NQp31WWNhoFnw,Sri Lankan Countryball productions,,,GB,3495412,16300,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Sri Lankan Countryball productions,,UUR0Bia1mQ7NQp31WWNhoFnw,
UCR5y9OV23c0jJ4RGwDvGnLw,Science With Ruchira,,,LK,45141939,682000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Science With Ruchira,,UUR5y9OV23c0jJ4RGwDvGnLw,
UCr8qGT-Mv9tdCo-aPr06REQ,G Plus Animation,,,US,460203250,690000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,G Plus Animation,,UUr8qGT-Mv9tdCo-aPr06REQ,
UCRJPCCeeEsLiZkCjWlulDCg,Travel ලුකා,,,LK,2551,892,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Travel ලුකා,,UURJPCCeeEsLiZkCjWlulDCg,
UCrjQG1gLZ4cDwIzrGA5pRBw,YouSee,,,LK,3940302,10200,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,YouSee,,UUrjQG1gLZ4cDwIzrGA5pRBw,
UCRnC_XIuIVFKWphUcLd4MVA,MIND YOUR MIND,,,Unknown,167477,1720,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,MIND YOUR MIND,,UURnC_XIuIVFKWphUcLd4MVA,
UCRtAu8OVYVfuNZmTV-Ug0zA,Buddhism,,,LK,247206736,2940000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Buddhism,,UURtAu8OVYVfuNZmTV-Ug0zA,
UCs_mHlm5_C82W5WCIJaSMbQ,Vishwakarma | විශ්වකර්ම,,,LK,266224825,1710000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Vishwakarma | විශ්වකර්ම,,UUs_mHlm5_C82W5WCIJaSMbQ,
UCt7aYc76HmITvYbbQlHyFnw,Go English Way,,,LK,14709,976,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Go English Way,,UUt7aYc76HmITvYbbQlHyFnw,
UCTb1H9XUOHjqA9hVvxCht0w,WORLD LIBRARY | ලෝක පුස්තකාලය,,,LK,7030,1260,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,WORLD LIBRARY | ලෝක පුස්තකාලය,,UUTb1H9XUOHjqA9hVvxCht0w,
UCu_V8lfzyGspxP-LNFowW9w,eTunes,,,LK,558784478,1200000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,eTunes,,UUu_V8lfzyGspxP-LNFowW9w,
UCU5WmQA3Ur1Yriw5pMqoBNQ,FactsVibe,,,LK,92957635,1230000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,FactsVibe,,UUU5WmQA3Ur1Yriw5pMqoBNQ,
UCu7cGbQEMgGk8TD0ZYucM5g,Shraddha TV,,,LK,215483915,1190000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Shraddha TV,,UUu7cGbQEMgGk8TD0ZYucM5g,
UCuc40qp1ZKB_ZbDw9iml8Kg,Imsachin,,,LK,1628294566,2890000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Imsachin,,UUuc40qp1ZKB_ZbDw9iml8Kg,
UCVmkgq5EQR_Dls3LG-wkrjw,GoThru 360 - Virtual Tours & Google Street View,,,CA,428457,4030,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,GoThru 360 - Virtual Tours & Google Street View,,UUVmkgq5EQR_Dls3LG-wkrjw,
UCvQoK_VN52NG9CwB7Tc9WZg,Maths Lesy,,,LK,14219,1040,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Maths Lesy,,UUvQoK_VN52NG9CwB7Tc9WZg,
UCVwbUjoiTUXxeVjsxW9Kwng,Desawana Music,,,LK,492273624,1670000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Desawana Music,,UUVwbUjoiTUXxeVjsxW9Kwng,
UCw7u6NM3AzfdAylSLIoLeOQ,Gaming with raviya,,,LK,890,2,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Gaming with raviya,,UUw7u6NM3AzfdAylSLIoLeOQ,
UCwkHQPpM4IvsJZiIwW9_8Ng,RVA Sinhala,,,LK,610739,5150,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,RVA Sinhala,,UUwkHQPpM4IvsJZiIwW9_8Ng,
UCwKYO2L9xzLtWhSv4ncYCIA,Nilame,,,LK,171198009,1750000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Nilame,,UUwKYO2L9xzLtWhSv4ncYCIA,
UCWqN5l7FwMO6-gT8Dg9mx5A,Azeem Mohammed,,,Unknown,29192,116,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Azeem Mohammed,,UUWqN5l7FwMO6-gT8Dg9mx5A,
UCwXfRdTtVeVnXXF4poaYw0Q,Travel With Chatura,,,LK,44885200,432000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Travel With Chatura,,UUwXfRdTtVeVnXXF4poaYw0Q,
UCYFn7BOOlmL21iNJ6q5IDfg,Lochi,,,LK,732919283,2180000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Lochi,,UUYFn7BOOlmL21iNJ6q5IDfg,
UCYG2PZN2DImFqoTcj983iqA,ThisumTheNerd,,,LK,459876,1320,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,ThisumTheNerd,,UUYG2PZN2DImFqoTcj983iqA,
